Title	Year	Length	Rating	Action/Animation/Comedy/Drama/Documentary/Romance
Matilda	1978	105	NR	001000
Matilda	1991	90	NR	001000
Matilda	1996	102	PG	001100
Matinee	1993	99	NR	001100
Matinee Idol, The	1928	60	NR	001000
Matinee Mouse	1966	6	NR	011000
Mating Call, The	1928	72	NR	000100
Mating Game, The	1959	96	NR	001001
Mating Habits of the Earthbound Human, The	1999	90	R	001000
Mating Season, The	1951	101	NR	001000
Mating of Millie, The	1948	87	NR	001000
Matir moina	2002	94	NR	000100
Matokuningas	1993	45	NR	000000
Matou, Le	1985	141	NR	000000
Matri-Phony	1942	17	NR	001000
Matriarca, La	1969	90	NR	001100
Matriarhat	1977	103	NR	000100
Matriculated	2003	16	NR	010000
Matrimaniac, The	1916	46	NR	001001
Matrimoni	1998	94	NR	001000
Matrimonial Bed, The	1930	69	NR	001000
Matrimonio all'italiana	1964	102	NR	001101
Matrimony's Speed Limit	1913	14	NR	001000
Matrix Reloaded, The	2003	138	R	100000
Matrix Revolutions, The	2003	125	R	100000
Matrix, The	1999	136	R	100000
Matroni et moi	1999	101	NR	001000
Matroos	1998	16	NR	000000
Matrubhoomi	2003	99	NR	000100
Mattatore, Il	1960	95	NR	001000
Matter of Choice, A	1988	5	NR	000000
Matter of Degrees, A	1990	95	NR	001000
Matter of Life and Death, A	1946	104	PG	001001
Matter of Time, A	1976	97	NR	000101
Matter of Who, A	1961	90	NR	001000
Matto regiert	1947	113	NR	000000
Matusalem	1993	105	NR	000000
Matusalem II: le dernier des Beauchesne	1997	98	NR	000000
Matzor	1969	100	NR	000100
Mau Mau	1992	92	NR	001000
Mau Mau Sex Sex	2001	80	NR	000010
Maudite galette, La	1972	100	NR	001000
Maudits, Les	1947	105	NR	000100
Maugli	1967	90	NR	010000
Maulkorb, Der	1958	95	NR	000000
Mauri	1988	101	NR	000000
Maurice	1987	140	NR	000101
Maurie	1973	113	NR	000100
Mausam	1975	156	NR	000001
Mauvais esprit	2003	90	NR	001000
Mauvais genre	1997	85	NR	001000
Mauvais genres	2001	105	NR	000100
Mauvais joueurs, Les	2005	85	NR	000000
Mauvais sang	1986	105	NR	000101
Mauvaise conduite	1984	112	NR	000010
Mauvaise graine	1934	77	NR	000000
Mauvaise passe	1999	100	NR	000100
Maverick	1994	127	NR	001000
Maverick Queen, The	1956	90	NR	000000
Maverick's: A Documentary Film	1998	60	NR	000010
Mavri Emmanouella	1979	78	NR	000100
Mavro gala	2000	101	NR	000000
Max	2000	85	NR	000000
Max & Jeremie	1992	110	NR	000100
Max Dugan Returns	1983	98	NR	001000
Max Havelaar	1976	170	NR	000100
Max Keeble's Big Move	2001	86	PG	001000
Max V'Morris	1994	80	NR	001000
Max and Grace	2005	91	NR	001100
Max and Mona	2004	98	NR	000100
Max and Zoe	2001	13	NR	000000
Max et Bobo	1998	82	NR	001100
Max et les ferrailleurs	1971	92	NR	000100
Max und Moritz	1956	73	NR	000000
Max und Moritz Reloaded	2005	87	NR	101000
Max, der Taschendieb	1962	91	NR	001000
Maxie	1985	98	NR	001000
Maxime	1958	124	NR	000100
Maximillian Tarzan	1999	10	NR	100000
Maximum Force	1992	90	NR	100000
Maximum Overdrive	1986	97	NR	000000
Maximum Revenge	1997	78	R	100000
Maximum Risk	1996	100	R	100000
Maxwell's Demon	1999	78	NR	000100
May	2002	93	R	000100
May Wine	1991	85	NR	001001
Maya	1966	91	NR	000000
Maya	2001	105	NR	000100
Maya Lin: A Strong Clear Vision	1994	105	NR	000010
Maya Memsaab	1992	130	NR	000001
Maybe Baby	2000	96	R	001001
Maybe It's Love	1930	72	NR	001000
Maybe It's Love	1935	63	NR	001001
Mayday - Flug in den Tod	1997	90	NR	000000
Mayerling	1936	96	NR	000000
Mayerling	1968	140	PG-13	000101
Mayhem	1987	20	NR	000000
Mayis sikintisi	1999	130	NR	000000
Maynila: Sa mga kuko ng liwanag	1975	123	NR	000100
Mayonaka made	1999	110	NR	000000
Mayonnaise	1999	114	NR	000100
Mayor of 44th Street, The	1942	86	NR	000100
Mayor of Hell, The	1933	90	NR	000100
Mayor of the Sunset Strip	2003	94	R	000010
Mayores con reparos	1966	92	NR	001000
Mayrig	1992	157	NR	000000
Maytime	1937	132	NR	000101
Maytime in Mayfair	1949	94	NR	000001
Maz swojej zony	1961	94	NR	001000
Maze	2000	97	R	000001
Maze, The	1953	80	NR	000000
Mazel Tov ou le mariage	1969	87	NR	001100
Mazeppa	1993	111	NR	000100
Mazhki vremena	1977	125	NR	000000
Mazurka	1935	91	NR	000000
Mazurka del barone, della santa e del fico fiorone, La	1975	110	NR	001100
Mazzetta, La	1978	110	NR	001000
Mboutoukou	2002	14	NR	000000
McBain	1991	99	NR	100000
McCabe & Mrs. Miller	1971	121	NR	000100
McCarthy: Death of a Witch Hunter	1975	55	NR	000010
McCinsey's Island	1998	95	PG	101000
McConnell Story, The	1955	106	NR	000100
McDull, prince de la bun	2004	84	NR	010000
McGuffin, The	1985	100	NR	000000
McHale's Navy	1964	93	NR	001000
McHale's Navy	1997	108	PG	001000
McHale's Navy Joins the Air Force	1965	90	NR	001000
McKenzie Break, The	1970	108	PG	100100
McLibel	1998	53	NR	000010
McLintock!	1963	127	NR	001000
McMasters, The	1970	90	NR	000000
McQ	1974	111	NR	100100
McVicar	1980	90	NR	000100
Me Feelins Is Hurt	1940	6	NR	011000
Me Musical Nephews	1942	7	NR	011000
Me Myself I	1999	100	R	001000
Me Without You	2001	107	R	000100
Me and Daphne	2002	22	NR	000000
Me and Marlborough	1935	84	NR	001001
Me and Mrs. Jones	2001	99	NR	001001
Me and My Brother	1969	91	NR	000100
Me and My Gal	1932	79	NR	001101
Me and My Matchmaker	1996	55	NR	000010
Me and My Pal	1933	20	NR	001000
Me and Rubyfruit	1989	4	NR	000000
Me and Veronica	1992	95	NR	000100
Me and Will	1999	101	R	000100
Me and You and Everyone We Know	2005	90	R	000100
Me and the Big Guy	1999	10	NR	001000
Me and the Colonel	1958	109	NR	001000
Me and the Kid	1993	94	NR	001100
Me da igual	2000	98	NR	001100
Me la debes	2001	12	NR	001000
Me mage sandai	2000	104	NR	000000
Me permites matarte?	1994	90	NR	001000
Me sobra un marido	1987	100	NR	001000
Me tulemme taas	1953	66	NR	000000
Me'Ahorei Hasoragim	1984	103	NR	000100
Me'ahev, Ha-	1985	90	NR	000100
Me'ever Layam	1992	91	NR	000100
Me, Myself & Irene	2000	116	R	001000
Me, Myself and I	1992	97	NR	001000
Me, Natalie	1969	111	NR	001100
Me, bebia, Iliko da Ilarioni	1963	90	NR	001001
Meal, The	1975	90	NR	000100
Mean Creek	2004	89	R	000100
Mean Dog Blues	1978	108	NR	100100
Mean Girls	2004	97	PG-13	001100
Mean Guns	1997	110	R	100000
Mean Johnny Barrows	1976	90	NR	000100
Mean Machine	2001	101	R	001100
Mean Mother	1974	88	NR	100100
Mean People Suck	2003	8	NR	001000
Mean Season, The	1985	103	NR	000000
Mean Streets	1973	107	NR	000100
Meanest Gal in Town, The	1934	62	NR	001000
Meanest Man in the World, The	1943	57	NR	001000
Meaning of Life, The	1983	112	NR	001000
Meaning of Life, The	2005	12	NR	010100
Meanwhile, Back at the Ranch	1997	70	NR	000000
Meat	1976	112	NR	000010
Meat	1997	17	NR	001000
Meat Fucker	1999	32	NR	000000
Meat Love	1989	1	NR	000000
Meatballs	1979	99	NR	001000
Meatballs 4	1992	84	NR	001000
Meatballs III: Summer Job	1987	96	NR	001000
Meatballs Part II	1984	87	NR	001000
Meatcleaver Massacre	1977	85	NR	000000
Meateater, The	1979	85	NR	000000
Meatless Flyday	1944	6	NR	011000
Meatrack, The	1970	65	NR	000100
Mecava	1977	88	NR	000000
Mechanic, The	1972	100	NR	100000
Mechanical Monsters	1941	9	NR	010000
Mechanized Death	1961	28	NR	000010
Mechta	1943	100	NR	000100
Med livet som insats	1940	81	NR	000100
Medaglione insanguinato, Il	1975	90	NR	000000
Medal for Benny, A	1945	77	NR	000100
Medal for the General	1944	84	NR	000100
Medallion, The	2003	88	PG-13	101000
Medan staden sover	1950	102	NR	000100
Medea	1969	107	NR	000100
Medeni mjesec	1983	114	NR	000100
Media Whore	2002	9	NR	001000
Medicine Ball Caravan	1971	88	NR	000010
Medicine Man	1992	106	NR	000001
Medicine Man, The	1930	66	NR	001001
Medicine Show, The	2001	100	R	001101
Medico dei pazzi, Il	1954	91	NR	001000
Medico della mutua, Il	1968	98	NR	000000
Medico e lo stregone, Il	1957	102	NR	001000
Medina, El	2000	90	NR	000100
Mediocren, Die	1995	85	NR	001001
Meditation on Violence	1948	12	NR	000000
Mediterraneo	1991	90	NR	001000
Medium	1985	98	NR	000000
Medium Cool	1969	110	NR	000101
Medley - Brandelli di scuola	2000	76	NR	001000
Medurat Hashevet	2004	96	NR	000100
Medusa	1997	80	NR	000000
Medusa Touch, The	1978	105	NR	000100
Mee Pok Man	1995	105	NR	000101
Meeksville Ghost, The	2001	95	NR	000000
Meera	1979	155	NR	000100
Meet Boston Blackie	1941	58	NR	000100
Meet Danny Wilson	1952	88	NR	000100
Meet Joe Black	1998	178	PG-13	000101
Meet John Doe	1941	122	NR	001100
Meet John Doughboy	1941	7	NR	011000
Meet Marlon Brando	1966	28	NR	000010
Meet Me After the Show	1951	87	NR	001000
Meet Me Tonight	1952	81	NR	001000
Meet Me at the Fair	1953	87	NR	000000
Meet Me in Las Vegas	1956	112	NR	001001
Meet Me in St. Louis	1944	113	NR	000001
Meet Mr. Lucifer	1953	83	NR	001000
Meet Nero Wolfe	1936	73	NR	000000
Meet Prince Charming	1999	94	R	000001
Meet Wally Sparks	1997	105	R	001000
Meet the Applegates	1991	90	NR	001000
Meet the Baron	1933	68	NR	001000
Meet the Deedles	1998	93	PG	001000
Meet the Feebles	1989	94	NR	011000
Meet the Fleet	1940	20	NR	000000
Meet the Fockers	2004	115	PG-13	001000
Meet the Hollowheads	1989	86	NR	001000
Meet the Mob	1942	62	NR	001000
Meet the Parents	1992	75	NR	001000
Meet the Parents	2000	108	PG-13	001000
Meet the People	1944	100	NR	001000
Meet the Stars: Meet Roy Rogers	1941	10	NR	000010
Meet the Stewarts	1942	73	NR	001000
Meetin' WA	1986	26	NR	000010
Meeting Agnus	2002	12	NR	000101
Meeting Che Guevara & the Man from Maybury Hill	2003	18	NR	000000
Meeting Daddy	2000	96	R	001001
Meeting People Is Easy	1999	99	NR	000010
Meeting Venus	1991	119	NR	001100
Meeting, The	1999	8	NR	001000
Meeting, The	2001	6	NR	000000
Meeuwen sterven in de haven	1955	94	NR	000100
Megacities	1998	90	NR	000010
Megaforce	1982	99	NR	100000
Megaleksandros	1980	235	NR	000100
Megalo kanoni, To	1981	84	NR	001000
Megalodon	2004	90	PG-13	000000
Megalos Erotikos, O	1973	70	NR	000110
Megaville	1990	88	NR	000000
Meghe Dhaka Tara	1960	134	NR	000100
Megiddo: The Omega Code 2	2001	104	PG-13	000000
Mehanizam	2000	94	NR	100000
Mehmet	2002	7	NR	000000
Mehr Licht	2004	3	NR	000000
Mehr-E Madari	1997	90	NR	000000
Mei gui mei gui wo ai ni	1993	94	NR	101000
Mei li de xi yi ji	2004	118	NR	001100
Mei li zai chang ge	1997	106	NR	000100
Meier	1985	96	NR	001000
Meier 19	2001	100	NR	000010
Meili shiguang	2002	109	NR	000100
Meili xin shijie	1999	100	NR	000000
Meilleure part, La	1956	90	NR	000000
Mein Bruder ist ein Hund	2004	96	NR	000000
Mein Bruder, der Vampir	2001	94	NR	001101
Mein Krieg	1990	90	NR	000010
Mein Mann, das Wirtschaftswunder	1961	90	NR	001000
Mein Name ist Bach	2003	97	NR	000000
Mein Russland	2002	70	NR	001100
Mein Schatz ist aus Tirol	1958	89	NR	001001
Mein Schulfreund	1960	94	NR	001100
Mein Stern	2001	65	NR	000001
Mein Vater, der Affe und ich	1971	88	NR	000000
Mein erstes Wunder	2002	93	NR	000100
Mein langsames Leben	2001	85	NR	000100
Mein letzter Film	2002	90	NR	000100
Mein liebster Feind - Klaus Kinski	1999	95	NR	000010
Meine Eltern	2004	18	NR	000000
Meine Freundin Barbara	1937	80	NR	001000
Meine Schwester Maria	2002	90	NR	000110
Meine Stunde Null	1970	92	NR	001000
Meine Tochter und ich	1963	90	NR	001000
Meine polnische Jungfrau	2001	103	NR	001000
Meineidbauer, Der	1956	100	NR	000100
Meishaonian zhi lian	1998	111	NR	000101
Meisje	2002	93	NR	000101
Meisje met den blauwe hoed, Het	1934	117	NR	001000
Meisje met het rode haar, Het	1981	121	NR	000100
Meister Eder und sein Pumuckl	1982	84	NR	000000
Meisterspiel, Das	1998	106	NR	000010
Mekagojira no gyakushu	1975	79	NR	000000
Mekhanicheskaya syuita	2001	100	NR	001000
Mekhanikha golovnovo mozga	1926	60	NR	000000
Mektoub	1997	90	NR	000000
Mekura no oichi monogatari: Makkana nagaradori	1969	87	NR	100100
Mekurano Oichi midaregasa	1969	87	NR	100100
Mel	1998	97	NR	000000
Melancholia	1989	87	NR	000100
Melancholian kolme huonetta	2004	106	NR	000010
Melancolicas, Las	1971	96	NR	000000
Melanie	1982	95	NR	000100
Melba	1953	112	NR	000100
Melech Hasalim	1988	90	NR	000100
Melinda	1972	109	NR	100100
Melinda and Melinda	2004	100	PG-13	001100
Melissokomos, O	1986	122	NR	000100
Melkiy bes	1995	107	NR	000100
Mellem os	2003	36	NR	000100
Melodies Old and New	1942	11	NR	001000
Melodrama	1995	56	NR	001000
Melody	1953	10	NR	010010
Melody	1971	103	NR	000100
Melody Cruise	1933	76	NR	001001
Melody Ranch	1940	84	NR	000000
Melody Time	1948	75	NR	010000
Melody Trail	1935	60	NR	000000
Melody for Two	1937	60	NR	000001
Melody in Love	1978	90	NR	000101
Melting Pot	1997	104	PG-13	000100
Melvin Goes to Dinner	2003	83	R	001100
Melvin and Howard	1980	95	NR	001100
Melvin, Son of Alvin	1984	85	NR	001000
Melvyn Schmatzman: Freudian Dentist	1997	20	NR	000000
Member	2001	16	NR	000100
Member of the Wedding, The	1952	93	NR	000100
Memed My Hawk	1984	110	NR	000100
Memento	1996	15	NR	000000
Memento	2000	113	R	000100
Mementos	2004	23	NR	001000
Memoirs of a Survivor	1981	115	NR	000000
Memoirs of an Evil Stepmother	2004	18	NR	001000
Memoirs of an Invisible Man	1992	99	NR	001000
Memoria del agua, La	1994	82	NR	000110
Memoria del saqueo	2004	120	NR	000010
Memorial Day	1998	95	NR	101000
Memorial Day	1999	79	R	000000
Memorias del subdesarrollo	1968	97	NR	000100
Memories	1995	113	PG-13	010000
Memories Within Miss Aggie	1974	78	NR	000000
Memories and Melodies	1935	16	NR	000000
Memories of Famous Hollywood Comedians	1952	10	NR	000010
Memories of Me	1988	105	NR	001100
Memories of War	1983	16	NR	010000
Memory & Desire	1997	89	NR	000101
Memory Lane	1995	16	NR	000000
Memory Run	1996	90	R	100000
Memory of Justice, The	1976	278	NR	000010
Memory of Us	1974	93	NR	000100
Memory of the Camps	1985	56	NR	000010
Memphis Belle	1990	107	NR	100100
Memphis Belle: A Story of a Flying Fortress, The	1944	45	NR	000010
Memphis Cathouse Blues	1982	76	NR	000000
Memron	2004	79	NR	001000
Men	1997	92	NR	000100
Men Against the Sky	1940	75	NR	000100
Men Are Like That	1930	59	NR	001100
Men Are Not Gods	1936	90	NR	000100
Men Are Such Fools	1938	69	NR	000101
Men Cry Bullets	1997	105	NR	001100
Men Don't Leave	1990	115	NR	000100
Men Lie	1994	87	NR	001000
Men Must Fight	1933	72	NR	000100
Men Named Milo, Women Named Greta	2000	16	NR	001100
Men O'War	1929	19	NR	001000
Men Seeking Women	1997	92	NR	001000
Men Who Would Conquer China, The	2004	78	NR	000010
Men Without Jobs	2004	108	NR	001000
Men Without Women	1930	77	NR	100100
Men at Work	1990	98	NR	101000
Men in Black	1934	19	NR	001000
Men in Black	1997	98	PG-13	101000
Men in Black II	2002	88	PG-13	101000
Men in Exile	1937	58	NR	000100
Men in Her Life, The	1941	89	NR	000100
Men in Love	1989	85	NR	000100
Men in War	1957	102	NR	000100
Men in White	1934	74	NR	000100
Men of Action	2003	15	NR	101000
Men of America	1932	58	NR	000100
Men of Arnhem	1946	82	NR	000010
Men of Boys Town	1941	106	NR	000100
Men of Honor	2000	129	R	000100
Men of Ireland	1938	64	NR	000100
Men of Means	1999	80	NR	100100
Men of Respect	1991	113	NR	000100
Men of Sherwood Forest	1954	77	NR	000000
Men of Two Worlds	1946	90	NR	000100
Men of War	1994	99	R	100100
Men of the Fighting Lady	1954	79	NR	000100
Men of the Lightship	1940	10	NR	000010
Men with Brooms	2002	102	R	001101
Men with Steel Faces	1940	70	NR	100000
Men with Wings	1938	105	NR	000100
Men's Club, The	1986	101	NR	000100
Men, The	1950	85	NR	000100
Men: A Passion Playground	1985	7	NR	000000
Menace II Society	1993	97	R	100100
Menace, La	1977	117	NR	100000
Menace, The	1932	64	NR	000100
Mendel	1997	95	NR	000100
Mendelssohn's Wedding March	1939	9	NR	000100
Mender of Nets, The	1912	16	NR	000001
Mendy	2003	90	NR	000100
Meng gui da sha	1987	93	NR	000000
Meng long guojiang	1972	90	NR	100000
Meng ying tong nian	2004	93	NR	000100
Meng zhong ren	1986	95	NR	000000
Menina do Lado, A	1987	95	NR	000101
Meninas, As	1995	92	NR	000100
Meningen med Flemming	2001	14	NR	000000
Menino Maluquinho - O Filme	1994	83	NR	000000
Menino Maluquinho 2: A Aventura	1998	85	NR	000000
Menino de Engenho	1965	90	NR	000100
Menino do Rio	1982	85	NR	000100
Menino e o Vento, O	1967	104	NR	000100
Menmaniacs - The Legacy of Leather	1995	86	NR	000010
Menneskedyret	1995	79	NR	000100
Menno's Mind	1996	95	NR	000000
Menolippu Mombasaan	2002	88	NR	001100
Menos que cero	1996	90	NR	000000
Menq	1969	27	NR	000010
Menq enq, mer sarere	1970	94	NR	001100
Mensaka	1998	105	NR	000000
Menschen am Sonntag	1930	74	NR	000111
Menschen im Hotel	1959	106	NR	000100
Mensonge	1993	89	NR	000100
Mentale, La	2002	106	R	100100
Menthe - la bienheureuse	1979	31	NR	000000
Mentiras piadosas	1987	111	NR	000100
Menu	1933	10	NR	001000
Menu total	1986	81	NR	000000
Menuet	1982	86	NR	000100
Menya zovut Arlekino	1988	134	NR	000100
Menyaly	1992	93	NR	001000
Meoto zenzai	1955	121	NR	000100
Mephisto	1981	144	NR	000100
Mephisto Waltz, The	1971	109	NR	000000
Mer dare	1983	47	NR	000010
Mer enn et bryllup	2003	50	NR	000010
Mer om oss barn i Bullerbyn	1987	89	NR	000000
Mer, La	2002	14	NR	000000
Mera Naam Joker	1970	244	NR	000000
Mera spored mera	1981	288	NR	000100
Meraviglie di Aladino, Le	1961	93	NR	000000
Merbabies	1938	9	NR	010000
Mercado de abasto	1955	90	NR	001001
Mercano, el marciano	2002	72	NR	010000
Mercante di Venezia, Il	1910	10	NR	000100
Mercenaries, The	1968	100	NR	100100
Mercenario, Il	1968	111	NR	000000
Mercenary Fighters	1987	95	NR	100000
Merchant of Death	1997	96	R	100100
Merchant of Evil	1991	90	NR	100000
Merchant of Venice, The	2004	138	R	001100
Merchants of Venus	1998	87	NR	001000
Merchants of War	1988	87	NR	100000
Merci Docteur Rey	2002	91	NR	001000
Merci mon chien	1999	90	NR	001000
Merci pour le chocolat	2000	99	NR	000000
Merci pour le geste	2000	90	NR	000000
Merci!	2003	8	NR	000000
Mercury Rising	1998	108	R	100100
Mercy	2000	94	R	000000
Mercy	2003	112	NR	000100
Mercy Streets	2000	106	PG-13	100100
Mere Apne	1971	164	NR	000100
Mere Yaar Ki Shaadi Hai	2002	158	NR	000000
Meres Tou 36	1972	100	NR	000100
Merika	1984	102	NR	000101
Merikoi to protimoun kryo	1963	89	NR	001000
Merisairas	1996	94	NR	000100
Merle, Le	1958	4	NR	010000
Merlin	1992	115	NR	100000
Merlin the Magic Mouse	1967	6	NR	011000
Merlin's Shop of Mystical Wonders	1996	92	NR	000000
Merlin: The Return	1999	90	NR	000000
Merlo maschio, Il	1971	110	NR	001000
Mermaid	1964	8	NR	010000
Mermaids	1990	110	NR	001001
Mermaids of Tiburon	1962	85	NR	000000
Merrill's Marauders	1962	98	NR	000100
Merrily We Go to Hell	1932	78	NR	001100
Merrily We Live	1938	90	NR	001000
Merry Andrew	1958	103	NR	001000
Merry Christmas Deutschland	1984	20	NR	000000
Merry Christmas Mr. Lawrence	1983	124	NR	000100
Merry Dwarfs, The	1929	6	NR	011000
Merry Frinks, The	1934	68	NR	001100
Merry Mavericks	1951	16	NR	001000
Merry Monahans, The	1944	91	NR	001000
Merry Old Soul, The	1935	7	NR	011000
Merry Widow, The	1925	137	NR	000101
Merry Widow, The	1934	99	NR	001001
Merry Widow, The	1952	105	NR	000000
Merry Wives of Reno	1934	64	NR	001000
Merry-Go-Round	1923	110	NR	000100
Merton of the Movies	1947	82	NR	001001
Mery per sempre	1989	102	NR	000100
Mes amis	1999	97	NR	001000
Mes enfants ne sont pas comme les autres	2003	86	NR	000100
Mes meilleurs copains	1989	110	NR	001000
Mes nuits sont plus belles que vos jours	1989	86	NR	000101
Mes petites amoureuses	1974	123	NR	000100
Mes, Het	1961	89	NR	000100
Mesa of Lost Women	1953	70	NR	000000
Mesa servida, La	2001	15	NR	001000
Meschugge	1998	105	NR	000000
Meshes of the Afternoon	1943	18	NR	000000
Meshi	1951	97	NR	000100
Meska sprawa	2001	26	NR	000100
Mesmer	1994	107	NR	000100
Mesmerist, The	2002	95	NR	001000
Mesmerized	1986	94	NR	000100
Mesrine	1984	110	NR	000100
Message From Moonbase Alpha	1999	7	NR	000000
Message from Outer Space, A	2004	10	NR	000000
Message in a Bottle	1999	126	PG-13	000101
Message in a Cell Phone	2000	85	PG	000000
Message to Garcia, A	1936	77	NR	000100
Message to Gracias, A	1964	6	NR	011000
Message, The	1909	10	NR	000000
Message, The	1976	177	NR	000100
Message, The	2000	6	NR	010000
Messaggi quasi segreti	1997	103	NR	000000
Messalina	1951	116	NR	000100
Messalina, Messalina!	1977	86	NR	001100
Messe pour un corps	1975	21	NR	000010
Messenger of Death	1988	91	NR	000000
Messenger, The	2003	14	NR	000000
Messenger: The Story of Joan of Arc, The	1999	148	R	000100
Messengers	1999	118	NR	101101
Messengers	2004	96	NR	000100
Messer im Kopf	1978	108	NR	000100
Messia, Il	1976	140	NR	000000
Messidor	1979	123	NR	000100
Messieurs les enfants	1997	100	NR	001000
Mest kinematograficheskogo operatora	1912	12	NR	010000
Mestari	1992	109	NR	000100
Mesteren	2000	17	NR	000000
Mestiere delle armi, Il	2001	105	NR	000100
Mesto na zemle	2001	126	NR	000100
Met State	2001	10	NR	010000
Met grote blijdschap	2001	90	NR	000100
Metaal en melancholie	1993	80	NR	000110
Metal	1999	89	NR	000100
Metal Skin	1994	112	NR	000100
Metallic Blues	2004	90	NR	001100
Metallica: Some Kind of Monster	2004	135	NR	000010
Metalmeccanico e parrucchiera in un turbine di sesso e di politica	1996	101	NR	001000
Metalstasis	2001	8	NR	010000
Metalstorm: The Destruction of Jared-Syn	1983	84	NR	100001
Metamorphosis	1990	92	NR	000000
Metamorphosis of Mr. Samsa, The	1977	10	NR	010000
Metamorphosis: The Alien Factor	1993	98	NR	000000
Metechmio	1994	85	NR	000000
Metello	1970	110	NR	000100
Metempsycho	1963	88	NR	000000
Meteo	1990	98	NR	000100
Meteor	1979	107	NR	000100
Meteor Man, The	1993	100	NR	001000
Meteoro kai Skia	1985	101	NR	000000
Meteoro vima tou pelargou, To	1991	143	NR	000101
Methistakas, O	1950	105	NR	000100
Method to Madness	2004	76	NR	000000
Method, The	1995	15	NR	001000
Method, The	1997	97	NR	000100
Metoroporisu	2001	107	PG-13	110101
Metro	1997	117	R	101100
Metro	2000	13	NR	010000
Metro-Goldwyn-Mayer Story, The	1950	57	NR	000000
Metroland	1997	101	R	001100
Metronotte	2000	105	NR	000000
Metropolis	1927	117	NR	000100
Metropolis Apocalypse	1988	11	NR	000000
Metropolitan	1935	79	NR	000100
Metropolitan	1990	98	NR	001100
Metropolitan	2001	94	NR	000000
Mettetemi in galera	1976	89	NR	101000
Metti una sera a cena	1969	125	NR	000100
Metzitzim	1972	90	NR	001000
Meu Tio Matou um Cara	2004	87	NR	000000
Meurtre en 45 tours	1959	99	NR	000000
Meurtres	1950	120	NR	000100
Meurtrier, Le	1963	104	NR	000100
Mewy	1986	88	NR	000100
Mexicali Rose	1939	60	NR	000000
Mexican Cat Dance	1963	6	NR	011000
Mexican Dream, The	2003	28	NR	001100
Mexican Hayride	1948	77	NR	001000
Mexican Joyride	1947	7	NR	011000
Mexican Mousepiece	1966	6	NR	011000
Mexican Spitfire	1940	67	NR	001000
Mexican Spitfire Out West	1940	76	NR	001000
Mexican Spitfire Sees a Ghost	1942	69	NR	001000
Mexican Spitfire at Sea	1942	72	NR	001000
Mexican Spitfire's Baby	1941	69	NR	001000
Mexican Spitfire's Blessed Event	1943	63	NR	001000
Mexican Spitfire's Elephant	1942	64	NR	001000
Mexican, The	2001	123	R	001001
Mexicano	2002	15	NR	000000
Meyer aus Berlin	1919	57	NR	001000
Meztelen diplomata	1963	81	NR	001000
Mezzo destro, mezzo sinistro	1985	104	NR	001000
Mi Casa, Su Casa	2003	94	PG	001000
Mi Marilyn	1975	15	NR	000010
Mi Puerto Rico	1995	90	NR	000010
Mi calle	1960	91	NR	000100
Mi casa es tu casa	2002	92	NR	001000
Mi faccio la barca	1980	85	NR	001000
Mi fai un favore	1996	105	NR	001100
Mi famosa desconocida	2000	85	NR	001000
Mi general	1987	106	NR	001000
Mi hermano del alma	1994	93	NR	000000
Mi manda Picone	1984	122	NR	001000
Mi mou aptou	1996	96	NR	000100
Mi nismo andjeli	1992	98	NR	001000
Mi nismo andjeli 2	2005	89	NR	001000
Mi nombre es sombra	1996	90	NR	000100
Mi novia el...	1975	90	NR	001000
Mi piace lavorare - Mobbing	2004	89	NR	000100
Mi querido Tom Mix	1991	90	NR	100000
Mi suegra es un zombie	2002	84	NR	001000
Mi vida loca	1993	92	NR	000100
Mi yu shi ki xiao shi	2001	91	NR	000000
Mi-temps	2002	17	NR	000000
Mia Ellinida sto haremi	1971	105	NR	001000
Mia aioniotita kai mia mera	1998	132	NR	000100
Mia generazione, La	1996	95	NR	000100
Mia gynaika stin Antistasi	1970	92	NR	000100
Mia italida ap' tin Kipseli	1968	105	NR	001000
Mia kyria sta bouzoukia	1968	96	NR	001000
Mia moglie torna a scuola	1981	82	NR	001000
Mia signora, La	1964	100	NR	001000
Mia trelli, trelli sarantara	1970	88	NR	001000
Mia trelli... trelli oikogeneia	1965	105	NR	001000
Mia zoi tin echome	1958	111	NR	001000
Miami	2004	16	NR	000000
Miami Beach Cops	1992	83	NR	000000
Miami Blues	1990	97	NR	000100
Miami Connection	1986	120	NR	100000
Miami Cops	1989	95	NR	100000
Miami Expose	1956	73	NR	000100
Miami Golem	1985	85	NR	100000
Miami Rhapsody	1995	105	NR	001000
Miami Spice	1986	83	NR	000000
Miami Supercops	1985	93	NR	101000
Miao jie huang hou	1990	110	NR	000000
Miao tan shuang jiao	1992	86	NR	100000
Miao tan shuang long	1992	92	NR	100000
Mias pedaras niata	1967	93	NR	001000
Mibu gishi den	2003	143	NR	000100
Mice Follies	1954	7	NR	011000
Mice Follies	1960	6	NR	011000
Mice Will Play, The	1938	7	NR	011000
Michael	1996	105	NR	001101
Michael Blanco	2004	80	NR	001100
Michael Collins	1996	133	NR	000100
Michael Jordan to the Max	2000	46	NR	000010
Michael Kael contre la World News Company	1998	90	NR	001000
Michael Kohlhaas - Der Rebell	1969	99	NR	000100
Michael Laudrup - en fodboldspiller	1993	74	NR	000010
Michael Moore Hates America	2004	125	R	000010
Michael Nyman Songbook, The	1992	55	NR	000010
Michael Shayne: Private Detective	1940	77	NR	001100
